ftu,species_tag,age_tag,sex_tag,bmi_tag,age_yearold_tag,total_donor_record_count
alveolus of lung,Homo sapiens,others,female,Unknown,,25
alveolus of lung,Homo sapiens,others,female,,,8
alveolus of lung,Homo sapiens,others,male,Unknown,,22
alveolus of lung,Homo sapiens,others,male,,,14
alveolus of lung,Homo sapiens,others,others,Obesity,,2
alveolus of lung,Homo sapiens,others,others,Unknown,,339
alveolus of lung,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",12
alveolus of lung,Homo sapiens,postnatal,female,Overweight,"[30 years old, 35 years old)",2
alveolus of lung,Homo sapiens,postnatal,female,Overweight,"[45 years old, 50 years old)",1
alveolus of lung,Homo sapiens,postnatal,female,Unknown,<1 year old,10
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[1 year old, 5 years old)",6
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",2
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",9
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",8
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",51
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",31
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",7
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",13
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",13
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",6
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",10
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",7
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",11
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",22
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",7
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",6
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",4
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[90 years old, 95 years old)",1
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[95 years old, 100 years old)",1
alveolus of lung,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",5
alveolus of lung,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",1
alveolus of lung,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",7
alveolus of lung,Homo sapiens,postnatal,male,Obesity,"[30 years old, 35 years old)",1
alveolus of lung,Homo sapiens,postnatal,male,Overweight,"[40 years old, 45 years old)",1
alveolus of lung,Homo sapiens,postnatal,male,Unknown,<1 year old,11
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[1 year old, 5 years old)",2
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[10 years old, 15 years old)",6
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",7
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[20 years old, 25 years old)",6
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",22
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",17
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",5
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",17
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",15
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",7
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",12
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",10
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",13
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",22
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",9
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",4
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",5
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[85 years old, 90 years old)",2
