ftu,species_tag,age_tag,sex_tag,bmi_tag,age_yearold_tag,donor_record_count
nephron,Homo sapiens,unknown,others,Unknown,,32351
crypt of Lieberkuhn of large intestine,Homo sapiens,unknown,others,Unknown,,29420
papillary layer of dermis,Homo sapiens,unknown,others,Unknown,,27001
epidermal ridge of digit,Homo sapiens,unknown,others,Unknown,,26011
red pulp of spleen,Homo sapiens,unknown,others,Unknown,,17896
intestinal villus,Homo sapiens,unknown,others,Unknown,,16859
pancreatic acinus,Homo sapiens,unknown,others,Unknown,,16656
descending limb of loop of Henle,Homo sapiens,unknown,others,Unknown,,15410
islet of Langerhans,Homo sapiens,unknown,others,Unknown,,11437
white pulp of spleen,Homo sapiens,unknown,others,Unknown,,9845
prostate glandular acinus,Homo sapiens,unknown,others,Unknown,,7617
liver lobule,Homo sapiens,unknown,others,Unknown,,6102
alveolus of lung,Homo sapiens,unknown,others,Unknown,,4915
cortical collecting duct,Homo sapiens,unknown,others,Unknown,,3581
thick ascending limb of loop of Henle,Homo sapiens,unknown,others,Unknown,,3525
inner medullary collecting duct,Homo sapiens,unknown,others,Unknown,,2670
nephron,Homo sapiens,others,others,Unknown,,1673
crypt of Lieberkuhn of large intestine,Homo sapiens,others,others,Unknown,,1634
nephron,Homo sapiens,unknown,male,Unknown,,1541
bronchus submucosal gland,Homo sapiens,unknown,others,Unknown,,1519
intestinal villus,Homo sapiens,unknown,female,Unknown,,1448
papillary layer of dermis,Homo sapiens,unknown,female,Unknown,,1318
descending limb of loop of Henle,Homo sapiens,others,others,Unknown,,1279
nephron,Homo sapiens,unknown,female,Unknown,,1268
crypt of Lieberkuhn of large intestine,Homo sapiens,unknown,female,Unknown,,1170
epidermal ridge of digit,Homo sapiens,unknown,female,Unknown,,1139
intestinal villus,Homo sapiens,prenatal,others,Unknown,,1075
loop of Henle ascending limb thin segment,Homo sapiens,unknown,others,Unknown,,1063
papillary layer of dermis,Homo sapiens,others,others,Unknown,,1050
prostate glandular acinus,Homo sapiens,unknown,female,Unknown,,1046
epidermal ridge of digit,Homo sapiens,others,others,Unknown,,1002
prostate glandular acinus,Homo sapiens,unknown,male,Unknown,,994
intestinal villus,Homo sapiens,others,others,Unknown,,973
outer medullary collecting duct,Homo sapiens,unknown,others,Unknown,,906
papillary layer of dermis,Homo sapiens,unknown,male,Unknown,,870
intestinal villus,Homo sapiens,postnatal,others,Unknown,<1 year old,862
epidermal ridge of digit,Homo sapiens,unknown,male,Unknown,,828
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Unknown,<1 year old,777
crypt of Lieberkuhn of large intestine,Homo sapiens,unknown,male,Unknown,,751
descending limb of loop of Henle,Homo sapiens,unknown,male,Unknown,,740
descending limb of loop of Henle,Homo sapiens,unknown,female,Unknown,,734
red pulp of spleen,Homo sapiens,others,others,Unknown,,683
nephron,Homo sapiens,prenatal,others,Unknown,,627
nephron,Homo sapiens,postnatal,others,Unknown,<1 year old,616
intestinal villus,Homo sapiens,unknown,male,Unknown,,594
islet of Langerhans,Homo sapiens,others,others,Unknown,,587
intercalated duct of pancreas,Homo sapiens,unknown,others,Unknown,,572
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,<1 year old,548
descending limb of loop of Henle,Homo sapiens,,others,Unknown,,503
red pulp of spleen,Homo sapiens,unknown,female,Unknown,,496
renal corpuscle,Homo sapiens,unknown,others,Unknown,,493
pancreatic acinus,Homo sapiens,others,others,Unknown,,489
white pulp of spleen,Homo sapiens,others,others,Unknown,,479
crypt of Lieberkuhn of large intestine,Homo sapiens,prenatal,others,Unknown,,399
pancreatic acinus,Homo sapiens,unknown,female,Unknown,,376
red pulp of spleen,Homo sapiens,unknown,male,Unknown,,375
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,<1 year old,372
papillary layer of dermis,Homo sapiens,,others,Unknown,,369
nephron,Homo sapiens,,others,Unknown,,361
descending limb of loop of Henle,Homo sapiens,prenatal,others,Unknown,,355
islet of Langerhans,Homo sapiens,unknown,female,Unknown,,353
liver lobule,Homo sapiens,unknown,female,Unknown,,341
white pulp of spleen,Homo sapiens,unknown,female,Unknown,,341
pancreatic acinus,Homo sapiens,unknown,male,Unknown,,340
alveolus of lung,Homo sapiens,others,others,Unknown,,339
papillary layer of dermis,Homo sapiens,postnatal,others,Unknown,<1 year old,325
epidermal ridge of digit,Homo sapiens,unknown,others,,,313
nephron,Homo sapiens,unknown,others,,,300
prostate glandular acinus,Homo sapiens,others,others,Unknown,,296
islet of Langerhans,Homo sapiens,unknown,male,Unknown,,287
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",283
liver lobule,Homo sapiens,others,others,Unknown,,279
white pulp of spleen,Homo sapiens,unknown,male,Unknown,,277
epidermal ridge of digit,Homo sapiens,,others,Unknown,,276
crypt of Lieberkuhn of large intestine,Homo sapiens,,others,Unknown,,275
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",271
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",266
nephron,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",260
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",253
islet of Langerhans,Homo sapiens,prenatal,others,Unknown,,249
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,<1 year old,247
crypt of Lieberkuhn of large intestine,Homo sapiens,unknown,others,,,242
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[65 years old, 70 years old)",223
cortical collecting duct,Homo sapiens,prenatal,others,Unknown,,221
intestinal villus,Homo sapiens,,others,Unknown,,221
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",219
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",219
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,<1 year old,217
liver lobule,Homo sapiens,unknown,male,Unknown,,217
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",216
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",216
pancreatic acinus,Homo sapiens,prenatal,others,Unknown,,214
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",213
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",212
papillary layer of dermis,Homo sapiens,others,female,Unknown,,211
thymus lobule,Homo sapiens,unknown,others,Unknown,,208
alveolus of lung,Homo sapiens,unknown,female,Unknown,,199
cortical collecting duct,Homo sapiens,others,others,Unknown,,189
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",187
red pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",186
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",180
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",180
papillary layer of dermis,Homo sapiens,prenatal,others,Unknown,,179
thick ascending limb of loop of Henle,Homo sapiens,others,others,Unknown,,179
papillary layer of dermis,Homo sapiens,unknown,others,,,176
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,<1 year old,173
crypt of Lieberkuhn of large intestine,Homo sapiens,others,female,Unknown,,172
red pulp of spleen,Homo sapiens,unknown,others,,,170
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",170
epidermal ridge of digit,Homo sapiens,prenatal,others,Unknown,,169
alveolus of lung,Homo sapiens,postnatal,others,Unknown,<1 year old,168
red pulp of spleen,Homo sapiens,prenatal,others,Unknown,,165
descending limb of loop of Henle,Homo sapiens,unknown,others,,,165
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",162
intestinal villus,Homo sapiens,unknown,others,,,161
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,<1 year old,159
inner medullary collecting duct,Homo sapiens,others,others,Unknown,,159
alveolus of lung,Homo sapiens,prenatal,others,Unknown,,157
thick ascending limb of loop of Henle,Homo sapiens,unknown,male,Unknown,,155
white pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",153
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[65 years old, 70 years old)",151
liver lobule,Homo sapiens,prenatal,others,Unknown,,151
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",151
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[45 years old, 50 years old)",150
nephron,Homo sapiens,others,female,Unknown,,147
nephron,Homo sapiens,others,male,Unknown,,145
intestinal villus,Homo sapiens,postnatal,female,Unknown,"[25 years old, 30 years old)",142
prostate glandular acinus,Homo sapiens,others,female,Unknown,,140
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",139
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,<1 year old,139
thick ascending limb of loop of Henle,Homo sapiens,unknown,female,Unknown,,138
alveolus of lung,Homo sapiens,unknown,male,Unknown,,136
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",132
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",131
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",131
thick ascending limb of loop of Henle,Homo sapiens,prenatal,others,Unknown,,130
papillary layer of dermis,Homo sapiens,others,male,Unknown,,129
papillary layer of dermis,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",128
liver lobule,Homo sapiens,postnatal,others,Unknown,<1 year old,127
red pulp of spleen,Homo sapiens,,others,Unknown,,124
cortical collecting duct,Homo sapiens,unknown,female,Unknown,,120
inner medullary collecting duct,Homo sapiens,prenatal,others,Unknown,,119
cortical collecting duct,Homo sapiens,unknown,male,Unknown,,118
nephron,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",118
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",116
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",113
epidermal ridge of digit,Homo sapiens,others,male,,,113
