ftu,pmcid,graphic,sex_tag,value,unit
prostate glandular acinus,PMC6213999,ijms-19-03173-g007,female,10,um
islet of Langerhans,PMC9999015,JCB_202203036_Fig4,male,50,um
islet of Langerhans,PMC9999015,JCB_202203036_Fig4,male,50,um
papillary layer of dermis,PMC9999015,JCB_202203036_Fig4,male,50,um
papillary layer of dermis,PMC9999015,JCB_202203036_Fig4,male,50,um
pancreatic acinus,PMC9999015,JCB_202203036_Fig4,male,50,um
pancreatic acinus,PMC9999015,JCB_202203036_Fig4,male,50,um
nephron,PMC6617298,antioxidants-08-00176-g003,male,1,um
nephron,PMC6617298,antioxidants-08-00176-g003,female,1,um
intestinal villus,PMC6678077,ijms-20-03578-g003,female,50,um
crypt of Lieberkuhn of large intestine,PMC6597548,41467_2019_10495_Fig3_HTML,female,50,um
white pulp of spleen,PMC6668467,41467_2019_11373_Fig4_HTML,female,50,um
red pulp of spleen,PMC6668467,41467_2019_11373_Fig4_HTML,female,50,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,50,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,50,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,male,50,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,male,50,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,50,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,50,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,female,50,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC6637706,JOA-235-281-g004,male,50,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,male,5,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,male,10,um
nephron,PMC6678979,ijms-20-03513-g003,male,5,um
nephron,PMC6678979,ijms-20-03513-g003,male,5,um
nephron,PMC6678979,ijms-20-03513-g003,male,10,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,male,5,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,male,10,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,male,5,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,male,5,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,male,10,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,male,5,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,male,5,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,female,5,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,female,10,um
nephron,PMC6678979,ijms-20-03513-g003,female,5,um
nephron,PMC6678979,ijms-20-03513-g003,female,5,um
nephron,PMC6678979,ijms-20-03513-g003,female,10,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,female,5,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,female,10,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,female,5,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,female,5,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,female,10,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,female,5,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,female,5,um
prostate glandular acinus,PMC6912808,cells-08-01327-g001,female,50,um
prostate glandular acinus,PMC6912808,cells-08-01327-g001,female,200,um
liver lobule,PMC6912808,cells-08-01327-g001,female,50,um
liver lobule,PMC6912808,cells-08-01327-g001,female,200,um
pancreatic acinus,PMC6912808,cells-08-01327-g001,female,50,um
pancreatic acinus,PMC6912808,cells-08-01327-g001,female,200,um
white pulp of spleen,PMC6923557,10.1177_0963689719854446-fig1,male,10,um
white pulp of spleen,PMC6923557,10.1177_0963689719854446-fig1,female,10,um
descending limb of loop of Henle,PMC6914963,JDR2019-7869318.002,female,50,um
prostate glandular acinus,PMC6713698,109_2019_1809_Fig3_HTML,female,50,um
prostate glandular acinus,PMC6713698,109_2019_1809_Fig3_HTML,female,50,um
prostate glandular acinus,PMC6713698,109_2019_1809_Fig4_HTML,female,20,um
prostate glandular acinus,PMC6713698,109_2019_1809_Fig2_HTML,female,50,um
prostate glandular acinus,PMC6713698,109_2019_1809_Fig2_HTML,female,50,um
intestinal villus,PMC9271096,41467_2022_31725_Fig3_HTML,male,200,um
intestinal villus,PMC9271096,41467_2022_31725_Fig3_HTML,male,200,um
intestinal villus,PMC9271096,41467_2022_31725_Fig3_HTML,male,200,um
intestinal villus,PMC9271096,41467_2022_31725_Fig3_HTML,male,200,um
intestinal villus,PMC9259497,41385_2022_520_Fig1_HTML,female,50,um
intestinal villus,PMC9259497,41385_2022_520_Fig1_HTML,female,50,um
intestinal villus,PMC9259497,41385_2022_520_Fig1_HTML,female,20,um
pancreatic acinus,PMC9249210,pgen.1010271.g001,female,100,um
pancreatic acinus,PMC9249210,pgen.1010271.g001,female,100,um
pancreatic acinus,PMC9249210,pgen.1010271.g001,female,100,um
pancreatic acinus,PMC9249210,pgen.1010271.g001,female,100,um
descending limb of loop of Henle,PMC9260213,EMMM-14-e15608-g010,female,100,um
descending limb of loop of Henle,PMC9260213,EMMM-14-e15608-g010,female,10,um
nephron,PMC9227071,pharmaceuticals-15-00657-g009a,male,50,um
nephron,PMC9227071,pharmaceuticals-15-00657-g009a,male,200,um
nephron,PMC9227071,pharmaceuticals-15-00657-g009a,female,50,um
nephron,PMC9227071,pharmaceuticals-15-00657-g009a,female,200,um
alveolus of lung,PMC9240613,gr1,male,25,um
intestinal villus,PMC9240613,gr1,male,25,um
papillary layer of dermis,PMC9221328,cancers-14-02836-g004,female,100,um
nephron,PMC8558180,18_2021_3936_Fig1_HTML,male,50,um
nephron,PMC8558180,18_2021_3936_Fig1_HTML,female,50,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
crypt of Lieberkuhn of large intestine,PMC8528489,elife-64125-fig5,female,50,um
papillary layer of dermis,PMC6240266,12985_2018_1086_Fig5_HTML,male,100,um
papillary layer of dermis,PMC6240266,12985_2018_1086_Fig5_HTML,female,100,um
nephron,PMC6281320,elife-42628-fig1,male,20,um
nephron,PMC6281320,elife-42628-fig1,male,10,um
nephron,PMC6281320,elife-42628-fig1,female,20,um
nephron,PMC6281320,elife-42628-fig1,female,10,um
cortical collecting duct,PMC6293306,zh20071885760008,female,1,um
renal corpuscle,PMC6293306,zh20071885760008,female,1,um
outer medullary collecting duct,PMC6293306,zh20071885760008,female,1,um
nephron,PMC6293306,zh20071885760008,female,1,um
thick ascending limb of loop of Henle,PMC6293306,zh20071885760008,female,1,um
cortical collecting duct,PMC6293306,zh20071885760008,male,1,um
renal corpuscle,PMC6293306,zh20071885760008,male,1,um
outer medullary collecting duct,PMC6293306,zh20071885760008,male,1,um
nephron,PMC6293306,zh20071885760008,male,1,um
thick ascending limb of loop of Henle,PMC6293306,zh20071885760008,male,1,um
cortical collecting duct,PMC6293306,zh20071885760008,female,1,um
renal corpuscle,PMC6293306,zh20071885760008,female,1,um
outer medullary collecting duct,PMC6293306,zh20071885760008,female,1,um
nephron,PMC6293306,zh20071885760008,female,1,um
thick ascending limb of loop of Henle,PMC6293306,zh20071885760008,female,1,um
liver lobule,PMC6261392,SCI2018-7159465.005,male,50,um
liver lobule,PMC6261392,SCI2018-7159465.005,female,50,um
intestinal villus,PMC6250703,41467_2018_7119_Fig3_HTML,female,10,um
intestinal villus,PMC6250703,41467_2018_7119_Fig3_HTML,female,10,um
intestinal villus,PMC6250703,41467_2018_7119_Fig3_HTML,female,10,um
papillary layer of dermis,PMC6240266,12985_2018_1086_Fig4_HTML,female,100,um
papillary layer of dermis,PMC10105776,41598_2023_33282_Fig3_HTML,female,2,um
descending limb of loop of Henle,PMC10110607,41467_2023_37878_Fig4_HTML,male,100,um
thick ascending limb of loop of Henle,PMC10110607,41467_2023_37878_Fig4_HTML,male,100,um
descending limb of loop of Henle,PMC10110607,41467_2023_37878_Fig4_HTML,female,100,um
thick ascending limb of loop of Henle,PMC10110607,41467_2023_37878_Fig4_HTML,female,100,um
papillary layer of dermis,PMC10135664,biology-12-00516-g015,female,100,um
papillary layer of dermis,PMC10135664,biology-12-00516-g015,female,50,um
nephron,PMC10116870,fmed-10-1130112-g0002,female,50,um
nephron,PMC10116870,fmed-10-1130112-g0002,female,50,um
pancreatic acinus,PMC11188071,nihpp-2024.03.12.584316v1-f0003,male,50,um
pancreatic acinus,PMC11188071,nihpp-2024.03.12.584316v1-f0003,female,50,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,male,1,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,male,20,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,female,1,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,female,20,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,100,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,75,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,50,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,100,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,75,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig3_HTML,female,50,um
islet of Langerhans,PMC11178533,jci-134-173214-g135,male,50,um
nephron,PMC11178533,jci-134-173214-g135,male,50,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,male,10,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,male,10,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,male,10,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,female,10,um
nephron,PMC11165510,ADVS-11-2400446-g004,female,5,um
nephron,PMC11165510,ADVS-11-2400446-g004,female,20,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig1_HTML,female,50,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig1_HTML,female,75,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig1_HTML,female,50,um
prostate glandular acinus,PMC11197183,12951_2024_2583_Fig1_HTML,female,75,um
