ftu,pmcid,graphic,sex_tag,value,unit
prostate glandular acinus,PMC6213999,ijms-19-03173-g007,female,10,um
islet of Langerhans,PMC9999015,JCB_202203036_Fig4,male,50,um
islet of Langerhans,PMC9999015,JCB_202203036_Fig4,male,50,um
papillary layer of dermis,PMC9999015,JCB_202203036_Fig4,male,50,um
papillary layer of dermis,PMC9999015,JCB_202203036_Fig4,male,50,um
pancreatic acinus,PMC9999015,JCB_202203036_Fig4,male,50,um
pancreatic acinus,PMC9999015,JCB_202203036_Fig4,male,50,um
islet of Langerhans,PMC9990459,LSA-2023-01944_Fig4,female,80,um
crypt of Lieberkuhn of large intestine,PMC9990459,LSA-2023-01944_Fig4,female,80,um
pancreatic acinus,PMC9990459,LSA-2023-01944_Fig4,female,80,um
nephron,PMC6617298,antioxidants-08-00176-g003,male,1,um
nephron,PMC6617298,antioxidants-08-00176-g003,female,1,um
nephron,PMC6679647,peerj-07-7342-g005,male,200,um
nephron,PMC6679647,peerj-07-7342-g005,male,2,um
nephron,PMC6679647,peerj-07-7342-g005,male,10,um
nephron,PMC6679647,peerj-07-7342-g005,female,200,um
nephron,PMC6679647,peerj-07-7342-g005,female,2,um
nephron,PMC6679647,peerj-07-7342-g005,female,10,um
intestinal villus,PMC6678077,ijms-20-03578-g003,female,50,um
crypt of Lieberkuhn of large intestine,PMC6597548,41467_2019_10495_Fig3_HTML,female,50,um
white pulp of spleen,PMC6668467,41467_2019_11373_Fig4_HTML,female,50,um
red pulp of spleen,PMC6668467,41467_2019_11373_Fig4_HTML,female,50,um
papillary layer of dermis,PMC6664555,SCI2019-7858796.005,male,20,um
papillary layer of dermis,PMC6664555,SCI2019-7858796.005,female,20,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,50,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,50,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,male,50,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,male,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,male,50,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,50,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
red pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,50,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
white pulp of spleen,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,female,50,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
intestinal villus,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,female,100,um
crypt of Lieberkuhn of large intestine,PMC6642117,41467_2019_11053_Fig8_HTML,female,50,um
crypt of Lieberkuhn of large intestine,PMC6637706,JOA-235-281-g004,male,50,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,male,5,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,male,10,um
nephron,PMC6678979,ijms-20-03513-g003,male,5,um
nephron,PMC6678979,ijms-20-03513-g003,male,5,um
nephron,PMC6678979,ijms-20-03513-g003,male,10,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,male,5,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,male,10,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,male,5,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,male,5,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,male,10,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,male,5,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,male,5,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,female,5,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,female,10,um
nephron,PMC6678979,ijms-20-03513-g003,female,5,um
nephron,PMC6678979,ijms-20-03513-g003,female,5,um
nephron,PMC6678979,ijms-20-03513-g003,female,10,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,female,5,um
alveolus of lung,PMC6678979,ijms-20-03513-g003,female,10,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,female,5,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,female,5,um
crypt of Lieberkuhn of large intestine,PMC6678979,ijms-20-03513-g003,female,10,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,female,5,um
thick ascending limb of loop of Henle,PMC6678979,ijms-20-03513-g003,female,5,um
prostate glandular acinus,PMC6912808,cells-08-01327-g001,female,50,um
prostate glandular acinus,PMC6912808,cells-08-01327-g001,female,200,um
liver lobule,PMC6912808,cells-08-01327-g001,female,50,um
liver lobule,PMC6912808,cells-08-01327-g001,female,200,um
pancreatic acinus,PMC6912808,cells-08-01327-g001,female,50,um
pancreatic acinus,PMC6912808,cells-08-01327-g001,female,200,um
white pulp of spleen,PMC6923557,10.1177_0963689719854446-fig1,male,10,um
white pulp of spleen,PMC6923557,10.1177_0963689719854446-fig1,female,10,um
descending limb of loop of Henle,PMC6914963,JDR2019-7869318.002,female,50,um
crypt of Lieberkuhn of large intestine,PMC6911813,fimmu-10-02705-g0006,male,10,um
crypt of Lieberkuhn of large intestine,PMC6911813,fimmu-10-02705-g0006,female,10,um
prostate glandular acinus,PMC6713698,109_2019_1809_Fig3_HTML,female,50,um
prostate glandular acinus,PMC6713698,109_2019_1809_Fig3_HTML,female,50,um
prostate glandular acinus,PMC6713698,109_2019_1809_Fig4_HTML,female,20,um
prostate glandular acinus,PMC6713698,109_2019_1809_Fig2_HTML,female,50,um
prostate glandular acinus,PMC6713698,109_2019_1809_Fig2_HTML,female,50,um
epidermal ridge of digit,PMC6706583,41598_2019_48712_Fig2_HTML,male,10,um
epidermal ridge of digit,PMC6706583,41598_2019_48712_Fig2_HTML,male,10,um
epidermal ridge of digit,PMC6706583,41598_2019_48712_Fig2_HTML,female,10,um
epidermal ridge of digit,PMC6706583,41598_2019_48712_Fig2_HTML,female,10,um
epidermal ridge of digit,PMC9269465,pone.0268467.g001,female,100,um
epidermal ridge of digit,PMC9269465,pone.0268467.g001,female,100,um
intestinal villus,PMC9271096,41467_2022_31725_Fig3_HTML,male,200,um
intestinal villus,PMC9271096,41467_2022_31725_Fig3_HTML,male,200,um
intestinal villus,PMC9271096,41467_2022_31725_Fig3_HTML,male,200,um
intestinal villus,PMC9271096,41467_2022_31725_Fig3_HTML,male,200,um
intestinal villus,PMC9259497,41385_2022_520_Fig1_HTML,female,50,um
intestinal villus,PMC9259497,41385_2022_520_Fig1_HTML,female,50,um
intestinal villus,PMC9259497,41385_2022_520_Fig1_HTML,female,20,um
islet of Langerhans,PMC9266666,ijms-23-07067-g007,female,500,um
islet of Langerhans,PMC9266666,ijms-23-07067-g007,female,50,um
islet of Langerhans,PMC9266666,ijms-23-07067-g007,female,250,um
epidermal ridge of digit,PMC9266666,ijms-23-07067-g007,female,500,um
epidermal ridge of digit,PMC9266666,ijms-23-07067-g007,female,50,um
epidermal ridge of digit,PMC9266666,ijms-23-07067-g007,female,250,um
pancreatic acinus,PMC9249210,pgen.1010271.g001,female,100,um
pancreatic acinus,PMC9249210,pgen.1010271.g001,female,100,um
pancreatic acinus,PMC9249210,pgen.1010271.g001,female,100,um
pancreatic acinus,PMC9249210,pgen.1010271.g001,female,100,um
descending limb of loop of Henle,PMC9260213,EMMM-14-e15608-g010,female,100,um
descending limb of loop of Henle,PMC9260213,EMMM-14-e15608-g010,female,10,um
nephron,PMC9227071,pharmaceuticals-15-00657-g009a,male,50,um
nephron,PMC9227071,pharmaceuticals-15-00657-g009a,male,200,um
nephron,PMC9227071,pharmaceuticals-15-00657-g009a,female,50,um
nephron,PMC9227071,pharmaceuticals-15-00657-g009a,female,200,um
alveolus of lung,PMC9240613,gr1,male,25,um
intestinal villus,PMC9240613,gr1,male,25,um
papillary layer of dermis,PMC9221328,cancers-14-02836-g004,female,100,um
white pulp of spleen,PMC9221394,cells-11-01861-g007,male,100,um
red pulp of spleen,PMC9221394,cells-11-01861-g007,male,100,um
white pulp of spleen,PMC9221394,cells-11-01861-g007,female,100,um
red pulp of spleen,PMC9221394,cells-11-01861-g007,female,100,um
nephron,PMC8558180,18_2021_3936_Fig1_HTML,male,50,um
nephron,PMC8558180,18_2021_3936_Fig1_HTML,female,50,um
prostate glandular acinus,PMC8556987,13048_2021_883_Fig4_HTML,male,26,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,female,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,80,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,40,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,21,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,20,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
nephron,PMC8521200,fnagi-13-710683-g0003,male,108,um
crypt of Lieberkuhn of large intestine,PMC8537019,pharmaceutics-13-01722-g002,male,50,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,male,5,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,male,100,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,male,5,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,male,100,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,male,5,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,male,100,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,female,5,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,female,100,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,female,5,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,female,100,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,female,5,um
crypt of Lieberkuhn of large intestine,PMC8538769,pharmaceutics-13-01667-g001,female,100,um
crypt of Lieberkuhn of large intestine,PMC8528489,elife-64125-fig5,female,50,um
papillary layer of dermis,PMC6240266,12985_2018_1086_Fig5_HTML,male,100,um
papillary layer of dermis,PMC6240266,12985_2018_1086_Fig5_HTML,female,100,um
nephron,PMC6281320,elife-42628-fig1,male,20,um
nephron,PMC6281320,elife-42628-fig1,male,10,um
nephron,PMC6281320,elife-42628-fig1,female,20,um
nephron,PMC6281320,elife-42628-fig1,female,10,um
cortical collecting duct,PMC6293306,zh20071885760008,female,1,um
renal corpuscle,PMC6293306,zh20071885760008,female,1,um
outer medullary collecting duct,PMC6293306,zh20071885760008,female,1,um
nephron,PMC6293306,zh20071885760008,female,1,um
thick ascending limb of loop of Henle,PMC6293306,zh20071885760008,female,1,um
cortical collecting duct,PMC6293306,zh20071885760008,male,1,um
renal corpuscle,PMC6293306,zh20071885760008,male,1,um
outer medullary collecting duct,PMC6293306,zh20071885760008,male,1,um
