ftu,pmcid,graphic,sex_tag,value,unit
crypt of Lieberkuhn of large intestine,PMC6637706,JOA-235-281-g004,male,50,um
prostate glandular acinus,PMC6912808,cells-08-01327-g001,female,50,um
prostate glandular acinus,PMC6912808,cells-08-01327-g001,female,200,um
liver lobule,PMC6912808,cells-08-01327-g001,female,50,um
liver lobule,PMC6912808,cells-08-01327-g001,female,200,um
pancreatic acinus,PMC6912808,cells-08-01327-g001,female,50,um
pancreatic acinus,PMC6912808,cells-08-01327-g001,female,200,um
crypt of Lieberkuhn of large intestine,PMC6911813,fimmu-10-02705-g0006,male,10,um
crypt of Lieberkuhn of large intestine,PMC6911813,fimmu-10-02705-g0006,female,10,um
descending limb of loop of Henle,PMC9260213,EMMM-14-e15608-g010,female,100,um
descending limb of loop of Henle,PMC9260213,EMMM-14-e15608-g010,female,10,um
prostate glandular acinus,PMC8556987,13048_2021_883_Fig4_HTML,male,26,um
intestinal villus,PMC6250703,41467_2018_7119_Fig3_HTML,female,10,um
intestinal villus,PMC6250703,41467_2018_7119_Fig3_HTML,female,10,um
intestinal villus,PMC6250703,41467_2018_7119_Fig3_HTML,female,10,um
prostate glandular acinus,PMC6262441,cells-07-00206-g001,female,50,um
nephron,PMC10116870,fmed-10-1130112-g0002,female,50,um
nephron,PMC10116870,fmed-10-1130112-g0002,female,50,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,male,1,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,male,20,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,female,1,um
epidermal ridge of digit,PMC11193890,nihms-1995883-f0022,female,20,um
islet of Langerhans,PMC11178533,jci-134-173214-g135,male,50,um
nephron,PMC11178533,jci-134-173214-g135,male,50,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,male,10,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,male,10,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,male,10,um
bronchus submucosal gland,PMC11197063,rccm.202308-1370OCf4,female,10,um
crypt of Lieberkuhn of large intestine,PMC6764805,BTM2-4-na-g006,male,50,um
crypt of Lieberkuhn of large intestine,PMC6764805,BTM2-4-na-g006,male,0.5,um
intestinal villus,PMC6754153,pone.0222626.g011,male,1,um
nephron,PMC6754153,pone.0222626.g011,male,1,um
crypt of Lieberkuhn of large intestine,PMC6754153,pone.0222626.g011,male,1,um
intestinal villus,PMC6754153,pone.0222626.g011,female,1,um
nephron,PMC6754153,pone.0222626.g011,female,1,um
crypt of Lieberkuhn of large intestine,PMC6754153,pone.0222626.g011,female,1,um
alveolus of lung,PMC4798756,pone.0149967.g008,female,100,um
