organ,ftu,young,medium,old,young-pmcid,medium-pmcid,old-pmcid
Kidney,cortical collecting duct,50.0,63.18181818181818,75.0,6.0,3.0,1.0
Kidney,descending limb of loop of Henle,152.22222222222223,106.57142857142857,457.14285714285717,12.0,12.0,3.0
Kidney,inner medullary collecting duct,47.5,100.0,,3.0,1.0,
Kidney,loop of Henle ascending limb thin segment,,100.0,2500.0,,2.0,1.0
Kidney,nephron,57.13235294117647,66.22659574468085,55.0,23.0,30.0,2.0
Kidney,outer medullary collecting duct,48.57142857142857,,,2.0,,
Kidney,renal corpuscle,120.0,9.164285714285715,,2.0,2.0,
Kidney,thick ascending limb of loop of Henle,87.27272727272727,83.35,,6.0,8.0,
Large Intestine,crypt of Lieberkuhn of large intestine,259.175,80.2394366197183,22.0,12.0,24.0,1.0
Liver,liver lobule,90.625,123.33333333333333,,5.0,3.0,
Lung,alveolus of lung,529.0625,120.83333333333333,,3.0,4.0,
Lung,bronchus submucosal gland,1570.0,30.0,30.0,1.0,1.0,1.0
Pancreas,intercalated duct of pancreas,50.0,50.0,,1.0,1.0,
Pancreas,islet of Langerhans,124.63414634146342,119.77325581395348,,16.0,16.0,
Pancreas,pancreatic acinus,152.08333333333334,122.07317073170732,75.0,15.0,16.0,1.0
Prostate Gland,prostate glandular acinus,53.47222222222222,201.44375,45.833333333333336,6.0,11.0,1.0
Skin,epidermal ridge of digit,221.8181818181818,100.4625,74.44444444444444,11.0,23.0,4.0
Skin,papillary layer of dermis,80.0754716981132,206.05625,167.5,14.0,38.0,6.0
Small Intestine,intestinal villus,246.7173913043478,90.02702702702703,18.5,28.0,21.0,2.0
Spleen,red pulp of spleen,92.7,105.63380281690141,75.74074074074075,8.0,23.0,4.0
Spleen,white pulp of spleen,109.30555555555556,315.6,108.33333333333333,6.0,15.0,2.0
Thymus,thymus lobule,200.0,,,2.0,,
