"ftu","pmcid","graphic","value_new","standard_unit"
"islet of Langerhans","PMC6591962","13148_2019_689_Fig4_HTML","100","um"
"epidermal ridge of digit","PMC6591962","13148_2019_689_Fig4_HTML","100","um"
"alveolus of lung","PMC6591972","12931_2019_1101_Fig1_HTML","100","um"
"epidermal ridge of digit","PMC6591972","12931_2019_1101_Fig1_HTML","100","um"
"intestinal villus","PMC6683518","13287_2019_1354_Fig5_HTML","500","um"
"intestinal villus","PMC6683518","13287_2019_1354_Fig5_HTML","200","um"
"intestinal villus","PMC6683518","13287_2019_1354_Fig5_HTML","100","um"
"intestinal villus","PMC6683518","13287_2019_1354_Fig5_HTML","100","um"
"intestinal villus","PMC6683518","13287_2019_1354_Fig5_HTML","100","um"
"papillary layer of dermis","PMC6695420","41598_2019_48378_Fig3_HTML","50","um"
"islet of Langerhans","PMC6701368","JDR2019-8153140.004","50","um"
"islet of Langerhans","PMC6701368","JDR2019-8153140.004","300","um"
"islet of Langerhans","PMC6701368","JDR2019-8153140.004","100","um"
"nephron","PMC6701368","JDR2019-8153140.004","50","um"
"nephron","PMC6701368","JDR2019-8153140.004","300","um"
"nephron","PMC6701368","JDR2019-8153140.004","100","um"
"islet of Langerhans","PMC6739214","oncotarget-10-5412-g001","100","um"
"pancreatic acinus","PMC6739214","oncotarget-10-5412-g001","100","um"
"epidermal ridge of digit","PMC6747835","materials-12-02748-g002a","5","mm"
"epidermal ridge of digit","PMC6747835","materials-12-02748-g002a","10","um"
"epidermal ridge of digit","PMC6570838","40851_2019_135_Fig9_HTML","500","um"
"epidermal ridge of digit","PMC6570838","40851_2019_135_Fig9_HTML","200","um"
"red pulp of spleen","PMC6687690","41598_2019_48041_Fig7_HTML","50","um"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0004","50","um"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0004","50","um"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0004","200","um"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0004","200","um"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0004","2","mm"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0004","1","mm"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0004","50","um"
"cortical collecting duct","PMC6718710","fmed-06-00189-g0004","50","um"
"nephron","PMC6720670","ijms-20-03885-g002","1","cm"
"inner medullary collecting duct","PMC6751383","fphys-10-01172-g010","50","um"
"cortical collecting duct","PMC6751383","fphys-10-01172-g010","50","um"
"renal corpuscle","PMC6751383","fphys-10-01172-g010","50","um"
"outer medullary collecting duct","PMC6751383","fphys-10-01172-g010","50","um"
"thick ascending limb of loop of Henle","PMC6751383","fphys-10-01172-g010","50","um"
"nephron","PMC6751383","fphys-10-01172-g010","50","um"
"descending limb of loop of Henle","PMC6751383","fphys-10-01172-g010","50","um"
"loop of Henle ascending limb thin segment","PMC6751383","fphys-10-01172-g010","50","um"
"epidermal ridge of digit","PMC6754229","elife-48507-fig5-figsupp1","100","um"
"epidermal ridge of digit","PMC6754229","elife-48507-fig5-figsupp1","100","um"
"epidermal ridge of digit","PMC6754229","elife-48507-fig5-figsupp1","1","mm"
"epidermal ridge of digit","PMC6754229","elife-48507-fig5-figsupp1","1","mm"
"descending limb of loop of Henle","PMC6754229","elife-48507-fig5-figsupp1","100","um"
"descending limb of loop of Henle","PMC6754229","elife-48507-fig5-figsupp1","100","um"
"descending limb of loop of Henle","PMC6754229","elife-48507-fig5-figsupp1","1","mm"
"descending limb of loop of Henle","PMC6754229","elife-48507-fig5-figsupp1","1","mm"
"intestinal villus","PMC6755966","41388_2019_845_Fig7_HTML","4","um"
"intestinal villus","PMC6755966","41388_2019_845_Fig7_HTML","1","um"
"intestinal villus","PMC6755966","41388_2019_845_Fig7_HTML","1","um"
