Uberon ID,Preferred label,Synonyms,Definition,Source ontology,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,loop of Henle ascending limb thin segment,"thin ascending limb of loop of Henle, ascending thin limb, ascending limb thin segment of loop of Henle, pars ascendens (tubulus attenuatus), thin ascending limb",A sub-portion of the loop of Henle in the nephron of the kidney that is permeable to ions but not to water.,https://data.bioontology.org/ontologies/UBERON,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,UBERON_0004193,,N/A,https://data.bioontology.org/ontologies/BERO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,loop of Henle ascending limb thin segment,"thin ascending limb of loop of Henle, ascending thin limb, ascending limb thin segment of loop of Henle, pars ascendens (tubulus attenuatus), thin ascending limb",A sub-portion of the loop of Henle in the nephron of the kidney that is permeable to ions but not to water.,https://data.bioontology.org/ontologies/NIFSTD,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,loop of Henle ascending limb thin segment,,A sub-portion of the loop of Henle in the nephron of the kidney that is permeable to ions but not to water,https://data.bioontology.org/ontologies/FNS-H,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,N/A,"thin ascending limb of loop of Henle, ascending thin limb, ascending limb thin segment of loop of Henle, pars ascendens (tubulus attenuatus), thin ascending limb",A sub-portion of the loop of Henle in the nephron of the kidney that is permeable to ions but not to water.,https://data.bioontology.org/ontologies/HSPO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,loop of Henle ascending limb thin segment,"thin ascending limb of loop of Henle, ascending thin limb, ascending limb thin segment of loop of Henle, pars ascendens (tubulus attenuatus), thin ascending limb",A sub-portion of the loop of Henle in the nephron of the kidney that is permeable to ions but not to water.,https://data.bioontology.org/ontologies/KTAO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,Loop of Henle (Thin Limb),"thin ascending limb, thin ascending limb of loop of Henle, ascending thin limb, pars ascendens (tubulus attenuatus), ascending limb thin segment of loop of Henle",A sub-portion of the loop of Henle in the nephron of the kidney that is permeable to ions but not to water.,https://data.bioontology.org/ontologies/HRA,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,loop of Henle ascending limb thin segment,"thin ascending limb of loop of Henle, ascending thin limb, ascending limb thin segment of loop of Henle, pars ascendens (tubulus attenuatus), thin ascending limb",A sub-portion of the loop of Henle in the nephron of the kidney that is permeable to ions but not to water.,https://data.bioontology.org/ontologies/EFO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,loop of Henle ascending limb thin segment,"thin ascending limb of loop of Henle, ascending limb thin segment of loop of Henle",N/A,https://data.bioontology.org/ontologies/UPHENO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,loop of Henle ascending limb thin segment,,N/A,https://data.bioontology.org/ontologies/OBA,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,loop of Henle ascending limb thin segment,"thin ascending limb of loop of Henle, ascending thin limb, ascending limb thin segment of loop of Henle, pars ascendens (tubulus attenuatus), thin ascending limb",A sub-portion of the loop of Henle in the nephron of the kidney that is permeable to ions but not to water.,https://data.bioontology.org/ontologies/GO-PLUS,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,loop of Henle ascending limb thin segment,"thin ascending limb of loop of Henle, ascending thin limb, ascending limb thin segment of loop of Henle, pars ascendens (tubulus attenuatus), thin ascending limb",A sub-portion of the loop of Henle in the nephron of the kidney that is permeable to ions but not to water.,https://data.bioontology.org/ontologies/CCONT,,,,,,,,,,,,,,,,,,,,,
UBERON:0004193,loop of Henle ascending limb thin segment,"thin ascending limb of loop of Henle, thin ascending limb, pars ascendens (tubulus attenuatus), ascending thin limb, ascending limb thin segment of loop of Henle",A sub-portion of the loop of Henle in the nephron of the kidney that is permeable to ions but not to water.,https://data.bioontology.org/ontologies/CL,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,renal cortex collecting duct,The cortical collecting duct is the portion of the collecting duct that resides in the renal cortex.,https://data.bioontology.org/ontologies/UBERON,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,UBERON_0004203,,N/A,https://data.bioontology.org/ontologies/BERO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,"renal cortex collecting duct, kidney cortex collecting duct",The cortical collecting duct is the portion of the collecting duct that resides in the renal cortex.,https://data.bioontology.org/ontologies/NIFSTD,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,,The cortical collecting duct is the portion of the collecting duct that resides in the renal cortex,https://data.bioontology.org/ontologies/FNS-H,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,,N/A,https://data.bioontology.org/ontologies/NBO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,N/A,"renal cortex collecting duct, kidney cortex collecting duct",The cortical collecting duct is the portion of the collecting duct that resides in the renal cortex.,https://data.bioontology.org/ontologies/HSPO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,"renal cortex collecting duct, kidney cortex collecting duct",The cortical collecting duct is the portion of the collecting duct that resides in the renal cortex.,https://data.bioontology.org/ontologies/KTAO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,"renal cortex collecting duct, kidney cortex collecting duct",The cortical collecting duct is the portion of the collecting duct that resides in the renal cortex.,https://data.bioontology.org/ontologies/FOVT,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,Collecting Duct,"renal cortex collecting duct, kidney cortex collecting duct",The cortical collecting duct is the portion of the collecting duct that resides in the renal cortex.,https://data.bioontology.org/ontologies/HRA,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,renal cortex collecting duct,The cortical collecting duct is the portion of the collecting duct that resides in the renal cortex.,https://data.bioontology.org/ontologies/EFO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,,N/A,https://data.bioontology.org/ontologies/UPHENO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,,N/A,https://data.bioontology.org/ontologies/OBA,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,renal cortex collecting duct,The cortical collecting duct is the portion of the collecting duct that resides in the renal cortex.,https://data.bioontology.org/ontologies/GO-PLUS,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,renal cortex collecting duct,The cortical collecting duct is the portion of the collecting duct that resides in the renal cortex.,https://data.bioontology.org/ontologies/CCONT,,,,,,,,,,,,,,,,,,,,,
UBERON:0004203,cortical collecting duct,renal cortex collecting duct,The cortical collecting duct is the portion of the collecting duct that resides in the renal cortex.,https://data.bioontology.org/ontologies/CL,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,descending limb of loop of Henle,descending limb,"The portion of the renal tubule that constitutes the proximal part of the loop of Henle, has low permeability to ions and urea, and is highly permeable to water; it consists of an initial short thick segment lined by low simple cuboidal epithelium and a long thin segment lined by simple squamous epithelium; however, this distinction is not as important physiologically as in the ascending limb, so often the two are treated as one structure.",https://data.bioontology.org/ontologies/UBERON,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,descending limb of loop of Henle,"descending limb, loop of Henle descending limb, descending limb of Henle's loop","The portion of the renal tubule that constitutes the proximal part of the loop of Henle, has low permeability to ions and urea, and is highly permeable to water; it consists of an initial short thick segment lined by low simple cuboidal epithelium and a long thin segment lined by simple squamous epithelium; however, this distinction is not as important physiologically as in the ascending limb, so often the two are treated as one structure.",https://data.bioontology.org/ontologies/NIFSTD,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,descending limb of loop of Henle,,"the portion of the renal tubule that constitutes the proximal part of the loop of Henle, has low permeability to ions and urea, and is highly permeable to water; it consists of an initial short thick segment lined by low simple cuboidal epithelium and a long thin segment lined by simple squamous epithelium; however, this distinction is not as important physiologically as in the ascending limb, so often the two are treated as one structure",https://data.bioontology.org/ontologies/FNS-H,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,N/A,"descending limb, loop of Henle descending limb, descending limb of Henle's loop","The portion of the renal tubule that constitutes the proximal part of the loop of Henle, has low permeability to ions and urea, and is highly permeable to water; it consists of an initial short thick segment lined by low simple cuboidal epithelium and a long thin segment lined by simple squamous epithelium; however, this distinction is not as important physiologically as in the ascending limb, so often the two are treated as one structure.",https://data.bioontology.org/ontologies/HSPO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,descending limb of loop of Henle,"descending limb, loop of Henle descending limb, descending limb of Henle's loop","The portion of the renal tubule that constitutes the proximal part of the loop of Henle, has low permeability to ions and urea, and is highly permeable to water; it consists of an initial short thick segment lined by low simple cuboidal epithelium and a long thin segment lined by simple squamous epithelium; however, this distinction is not as important physiologically as in the ascending limb, so often the two are treated as one structure.",https://data.bioontology.org/ontologies/KTAO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,Loop of Henle (Thin Limb),"descending limb, descending limb of Henle's loop, loop of Henle descending limb","The portion of the renal tubule that constitutes the proximal part of the loop of Henle, has low permeability to ions and urea, and is highly permeable to water; it consists of an initial short thick segment lined by low simple cuboidal epithelium and a long thin segment lined by simple squamous epithelium; however, this distinction is not as important physiologically as in the ascending limb, so often the two are treated as one structure.",https://data.bioontology.org/ontologies/HRA,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,descending limb of loop of Henle,descending limb,N/A,https://data.bioontology.org/ontologies/UPHENO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,descending limb of loop of Henle,,N/A,https://data.bioontology.org/ontologies/OBA,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,descending limb of loop of Henle,descending limb,"The portion of the renal tubule that constitutes the proximal part of the loop of Henle, has low permeability to ions and urea, and is highly permeable to water; it consists of an initial short thick segment lined by low simple cuboidal epithelium and a long thin segment lined by simple squamous epithelium; however, this distinction is not as important physiologically as in the ascending limb, so often the two are treated as one structure.",https://data.bioontology.org/ontologies/GO-PLUS,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,descending limb of loop of Henle,descending limb,"The portion of the renal tubule that constitutes the proximal part of the loop of Henle, has low permeability to ions and urea, and is highly permeable to water; it consists of an initial short thick segment lined by low simple cuboidal epithelium and a long thin segment lined by simple squamous epithelium; however, this distinction is not as important physiologically as in the ascending limb, so often the two are treated as one structure.",https://data.bioontology.org/ontologies/CCONT,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,descending limb of loop of Henle,descending limb,"The portion of the renal tubule that constitutes the proximal part of the loop of Henle, has low permeability to ions and urea, and is highly permeable to water; it consists of an initial short thick segment lined by low simple cuboidal epithelium and a long thin segment lined by simple squamous epithelium; however, this distinction is not as important physiologically as in the ascending limb, so often the two are treated as one structure.",https://data.bioontology.org/ontologies/EFO,,,,,,,,,,,,,,,,,,,,,
UBERON:0001289,descending limb of loop of Henle,descending limb,"The portion of the renal tubule that constitutes the proximal part of the loop of Henle, has low permeability to ions and urea, and is highly permeable to water; it consists of an initial short thick segment lined by low simple cuboidal epithelium and a long thin segment lined by simple squamous epithelium; however, this distinction is not as important physiologically as in the ascending limb, so often the two are treated as one structure.",https://data.bioontology.org/ontologies/CL,,,,,,,,,,,,,,,,,,,,,
UBERON:0004205,inner medullary collecting duct,papillary collecting duct,The inner medullary collecting duct is the portion of the collecting duct that lies in the renal inner medulla.,https://data.bioontology.org/ontologies/UBERON,,,,,,,,,,,,,,,,,,,,,
UBERON:0004205,UBERON_0004205,,N/A,https://data.bioontology.org/ontologies/BERO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004205,inner medullary collecting duct,"papillary collecting duct, kidney inner medulla collecting duct, inner renal medulla collecting duct",The inner medullary collecting duct is the portion of the collecting duct that lies in the renal inner medulla.,https://data.bioontology.org/ontologies/NIFSTD,,,,,,,,,,,,,,,,,,,,,
UBERON:0004205,inner medullary collecting duct,,The inner medullary collecting duct is the portion of the collecting duct that lies in the renal inner medulla,https://data.bioontology.org/ontologies/FNS-H,,,,,,,,,,,,,,,,,,,,,
UBERON:0004205,inner medullary collecting duct,"papillary collecting duct, kidney inner medulla collecting duct, inner renal medulla collecting duct",The inner medullary collecting duct is the portion of the collecting duct that lies in the renal inner medulla.,https://data.bioontology.org/ontologies/KTAO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004205,Collecting Duct (Inner Medulla),"papillary collecting duct, inner renal medulla collecting duct, kidney inner medulla collecting duct",The inner medullary collecting duct is the portion of the collecting duct that lies in the renal inner medulla.,https://data.bioontology.org/ontologies/HRA,,,,,,,,,,,,,,,,,,,,,
UBERON:0004205,inner medullary collecting duct,,N/A,https://data.bioontology.org/ontologies/UPHENO,,,,,,,,,,,,,,,,,,,,,
UBERON:0004205,inner medullary collecting duct,,N/A,https://data.bioontology.org/ontologies/OBA,,,,,,,,,,,,,,,,,,,,,
